Origen    Destino   Destinatario   Peso 
6         5         4              3    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
6         5         4              3    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
9         8         7              6    
